CÓDIGO,TÍTULO
7010151000228402,SERVICIO DE TEJIDO DE REDES DE PESCA
7010160100255455,SERVICIO DE BUSQUEDA Y CLASIFICACION DE INFORMACION DE PESCA ARTESANAL
7010160200227356,SERVICIO DE ANALISIS DE DATOS BIOLOGICOS PESQUEROS
7010160200230130,SERVICIO DE ELABORACION DE ESTUDIO PALEOCEANOGRAFICO DE RESTOS DE PECES
7010160200287246,SERVICIO DE ANALISIS BIOQUIMICOS Y MOLECULARES DE ORGANISMOS ACUATICOS
7010160200362077,CONSULTORIA PARA ELABORACION DE DIAGNOSTICO DE LA COMPETITIVIDAD EN LA ACTIVIDAD PESQUERA ARTESANAL
7010170100230695,SERVICIO DE MANTENIMIENTO CORRECTIVO DE REDES DE ARRASTRE DE FONDO
7010170100231111,SERVICIO DE MANTENIMIENTO PREVENTIVO DE EQUIPO DE MONITOREO ACUSTICO PARA MAR
7010170100231113,SERVICIO DE MANTENIMIENTO PREVENTIVO DE BIOFILTRO
7010170100255451,SERVICIO DE ASISTENCIA TECNICA EN PRODUCCION DE TRUCHAS
7010170100310776,SERVICIO DE ASISTENCIA TECNICA EN ACTIVIDAD PESQUERA ARTESANAL Y ACUICOLA
7010170100322206,SERVICIO DE LIMPIEZA DE CANAL DE ABASTECIMIENTO DE AGUA PARA CRIADERO DE TRUCHA
7010170100336574,SERVICIO DE MANTENIMIENTO CORRECTIVO DE BIOFILTRO
7010170100336575,SERVICIO DE MANTENIMIENTO CORRECTIVO DE EQUIPO DE MONITOREO ACUSTICO PARA MAR
7010170100336833,SERVICIO DE MANTENIMIENTO CORRECTIVO DE REDES DE ARRASTRE
7010190500230111,SERVICIO DE ELABORACION DE ESTUDIO DE FECUNDACION DE PECES
7011150100292886,SERVICIO DE RECUPERACION DE POBLACION DE ESPECIES MADERABLES
7011150300086291,SERVICIO DE PODA DE FRUTALES
7011150300086293,SERVICIO DE PODA ARBOLES
7011160100228802,SERVICIO DE PLANTACION DE ARBOLES
7011160100374388,SERVICIO DE PLANTACIONES DE PALTO INJERTADO
7011160100375942,SERVICIO DE INJERTADO DE PLANTON DE CACAO - THEOBROMA CACAO
7011160200228400,SERVICIO DE PREPARACION DE PLANTAS PARA VIVERO
7011170100326509,SERVICIO DE MANTENIMIENTO DE PLANTAS PARA BIOHUERTOS
7011170300086286,SERVICIO DE MANTENIMIENTO DE PLANTAS DE INTERIORES
7011170300086289,SERVICIO DE MANTENIMIENTO DE PLANTAS ORNAMENTALES
7011170300086303,SERVICIO DE INSTALACION DE JARDINES
7011170300086304,SERVICIO DE LIMPIEZA Y ELIMINACION DE MALEZA DE AREAS VERDES
7011170300086305,SERVICIO DE INSTALACION DE CESPED Y ALFOMBRA DE FLORES ORNAMENTALES
7011170500126605,SERVICIO DE MANTENIMIENTO EN NICHOS
7011170500337191,SERVICIO DE MANTENIMIENTO EN MAUSOLEOS
7011170600283659,SERVICIO DE MANTENIMIENTO DE CESPED NATURAL
7011170900342341,SERVICIO DE SEMBRADO DE GRASS
7011171300086282,"SERVICIO DE MANTENIMIENTO DE FUENTES, ESTANQUES Y CASCADAS"
7011171300086288,SERVICIO DE MANTENIMIENTO DE PLANTAS PARA PARQUES
7011171300086306,SERVICIO DE MANTENIMIENTO DE AREAS VERDES
7011171300228786,SERVICIO DE DISEÑO DE PARQUES
7011171300228795,SERVICIO DE RIEGO CON CISTERNA PARA JARDINES
7011171300393075,"SERVICIO DE MANTENIMIENTO CORRECTIVO, ACONDICIONAMIENTO DEL SISTEMA SANITARIO Y PUESTA EN FUNCIONAMIENTO DE LOS ESPEJOS DE AGUA DE PARQUES Y PLAZAS"
7012150200270121,SERVICIO DE ORDEÑO DE GANADO VACUNO
7012160200270120,SERVICIO DE INSEMINACION ARTIFICIAL
7012160200382524,SERVICIO DE GENOTIPADO DE POLIMORFISMO DE NUCLEOTIDO SIMPLE (PNS) EN AUQUENIDOS
7012160700374280,SERVICIO DE CRIANZA DE ANIMALES MENORES
7012160800390637,SERVICIO DE PREÑEZ DE GANADO POR METODO DE TRANSFERENCIA DE EMBRIONES
